timestamp, ax, ay, az, gx, gy, gz
0, -5420, 8388, 14548, 1336, -244, -2141
10, -5415, 8318, 14425, 1344, -412, -2072
20, -5343, 8172, 14068, 1256, -622, -1908
30, -5360, 8177, 14037, 1142, -718, -1816
40, -5425, 8206, 14092, 1027, -726, -1707
50, -5556, 8240, 14176, 770, -817, -1430
60, -5528, 8201, 14075, 676, -891, -1241
70, -5443, 8168, 13949, 536, -911, -1070
80, -5379, 8078, 13871, 429, -891, -942
90, -5356, 8031, 13774, 265, -779, -699
100, -5310, 8006, 13766, 234, -703, -590
110, -5200, 7912, 13584, 127, -746, -518
120, -5099, 7840, 13454, 63, -913, -503
130, -4983, 7797, 13403, 5, -1127, -536
140, -4731, 7512, 13011, 19, -834, -749
150, -4534, 6950, 12289, 146, -517, -992
160, -3999, 5889, 10963, 366, -412, -1178
170, -3568, 4930, 9547, 862, -463, -1278
180, -2283, 3408, 6621, 2213, -1438, -1234
190, -1785, 2944, 5421, 2667, -2023, -1297
200, -1267, 2401, 4280, 2857, -2711, -1432
210, -782, 1720, 2106, 2888, -3264, -1655
220, -150, 622, 1352, 2853, -3715, -2212
230, 111, 231, 635, 2822, -3671, -2519
240, 129, 73, 324, 2663, -3638, -2885
250, 314, -119, -266, 1893, -3828, -3385
260, 280, -43, -415, 1106, -3882, -3577
270, 426, 143, -201, 161, -3911, -3643
280, 470, 248, 563, -679, -3753, -3955
290, 299, 174, 797, -1487, -2072, -4093
300, 161, 71, 856, -1545, -827, -4071
310, 53, -41, 878, -1509, 396, -3932
320, -53, 25, 1019, -1280, 3243, -3346
330, -10, 125, 1062, -1037, 4663, -3020
340, 29, 220, 1079, -791, 5818, -2843
350, -173, 329, 1178, -571, 7109, -2886
360, -366, 307, 1332, -487, 7192, -2958
370, -475, 295, 1357, -358, 6927, -2952
380, -593, 299, 1372, -61, 6026, -2890
390, -611, 288, 1402, 88, 5493, -2852
400, -627, 285, 1392, 208, 4792, -2805
410, -544, 302, 1404, 317, 2913, -2704
420, -476, 326, 1421, 422, 2231, -2730
430, -403, 351, 1384, 373, 1595, -2768
440, -401, 378, 1385, 299, 1087, -2869
450, -338, 392, 1395, -11, 354, -3159
460, -362, 419, 1430, -250, 45, -3348
470, -356, 412, 1460, -489, -279, -3555
480, -390, 417, 1661, -1016, -708, -4022
490, -419, 435, 1741, -1243, -783, -4259
500, -485, 427, 1813, -1422, -797, -4494
510, -713, 510, 1812, -1809, -560, -4947
520, -992, 570, 1788, -2075, -435, -5152
530, -2592, 4396, -2233, -2600, -577, -5355
540, -32764, 32748, 22458, -16770, -14352, -13617
550, -32764, 39, 32764, -32427, -32297, -21609
560, 9462, -9099, 8121, -21387, -31587, 2580
570, 32443, -9564, -27849, -12215, -32758, 3582
580, 8946, -6377, -4936, -22981, -7316, -11573
590, 2910, -4151, -3414, -25665, 3498, -12061
600, 853, -2415, -2116, -27215, 7489, -10993
610, -6, -465, 1767, -25637, 8913, -9705
620, 115, -209, 3246, -23188, 9644, -9841
630, -177, -363, 5446, -20308, 11853, -10284
640, -6476, -1633, 10560, -10363, 23255, -8108
650, -8552, -2764, 11291, -2748, 26467, -4027
660, -9583, -4525, 14940, 5561, 24885, 1259
670, -8302, -8584, 18078, 27734, 7256, 11737
680, -7448, -9977, 18103, 32663, -3502, 14588
690, -6881, -10182, 18597, 32765, -11281, 15901
700, -6399, -7523, 17972, 32766, -18057, 14940
710, -4636, 4023, 21822, 32088, -22139, 6576
720, -3291, 10795, 24709, 22006, -17434, 2131
730, -1232, 13820, 23211, 7589, -11567, -104
740, 1468, 8301, 12869, -2767, -3534, 30
750, 957, 4278, 9774, -3481, -4035, -318
760, 526, 1334, 10217, -5329, -2521, -1016
770, 132, -103, 12987, -7499, 1204, -1646
780, -2912, -1129, 20082, -5375, 3663, -1651
790, -4084, -477, 20767, -1366, 2749, -509
800, -4158, 275, 19621, 1880, 818, 236
810, -2157, 2699, 15852, 3350, -2088, 79
820, -1210, 3005, 15026, 2380, -1912, -32
830, -2488, 2151, 16404, 1146, -503, -359
840, -2080, 2594, 16374, 1165, -652, -273
850, -1906, 2736, 16572, 812, -431, -283
860, -1866, 2213, 16517, -45, 109, -350
870, -2086, 1895, 16525, -462, 14, -522
880, -1897, 1293, 16576, -675, -220, -607
890, -2098, -195, 16710, -958, 99, -701
900, -2801, -27, 17134, -923, 650, -627
910, -3285, 992, 17360, -280, 869, -408
920, -2937, 2774, 16454, 737, -402, -215
930, -2366, 3083, 16067, 1314, -620, -172
940, -2060, 2764, 15907, 858, -551, -195
950, -2247, 1679, 16260, 180, -375, -363
960, -2145, 70, 17237, -659, -591, -566
970, -1664, -42, 17369, -556, -885, -572
980, -1692, 537, 17317, -225, -740, -475
990, -2292, 1361, 16854, 360, -85, -321
