timestamp, ax, ay, az, gx, gy, gz
0, -8268, 3004, 13956, 4, -455, -511
10, -8110, 2980, 13838, -19, -316, -438
20, -8032, 2985, 13829, -43, -274, -448
30, -7901, 2950, 13724, -80, -236, -475
40, -7657, 2900, 13355, -87, -227, -538
50, -6986, 2673, 12448, -341, -291, -893
60, -6455, 2507, 11557, -439, -389, -1142
70, -5716, 2233, 10201, -583, -562, -1412
80, -4103, 1872, 7362, -1451, -1218, -2272
90, -3253, 1769, 6029, -2360, -1900, -2891
100, -2380, 1613, 4807, -3451, -2788, -3608
110, -991, 801, 2390, -5004, -4704, -4928
120, -568, 298, 1437, -5115, -5677, -5122
130, -186, -161, 808, -4801, -6543, -4906
140, 588, -676, 386, -3406, -7623, -3728
150, 952, -729, 566, -2460, -7445, -3222
160, 1158, -582, 526, -1502, -6534, -3069
170, 269, -253, 1320, -339, -3754, -3583
180, -89, -134, 1494, 103, -2914, -3734
190, 76, 42, 1313, 513, -2665, -3931
200, -170, 108, 908, 751, -2521, -4624
210, -318, 32, 973, 537, -2539, -4653
220, -336, -34, 1008, 317, -2609, -4495
230, -318, -19, 999, 160, -2577, -4301
240, -235, 6, 1145, -38, -2629, -4130
250, -145, -21, 1178, -36, -2890, -4160
260, -176, -15, 1196, -88, -2913, -4155
270, -217, -5, 1205, -141, -2920, -4161
280, -211, 14, 1285, -265, -3010, -4153
290, -203, 6, 1321, -319, -3106, -4134
300, -239, 11, 1339, -396, -3175, -4084
310, -204, 3, 1366, -458, -3247, -4004
320, -202, 47, 1457, -626, -3318, -3897
330, -226, 28, 1505, -728, -3373, -3860
340, -247, 67, 1517, -819, -3413, -3786
350, -249, 67, 1598, -1016, -3574, -3590
360, -246, 86, 1650, -1112, -3604, -3491
370, -237, 86, 1686, -1221, -3607, -3393
380, -282, 145, 1772, -1499, -3626, -3181
390, -275, 128, 1788, -1621, -3689, -3082
400, -224, 143, 1903, -1880, -3758, -2886
410, -199, 161, 1966, -1995, -3809, -2783
420, -203, 180, 1979, -2106, -3824, -2710
430, -213, 182, 1991, -2228, -3833, -2623
440, -239, 209, 2161, -2526, -3860, -2429
450, -238, 232, 2245, -2698, -3830, -2356
460, -261, 297, 2396, -2850, -3775, -2301
470, -322, 354, 3643, -3013, -3747, -2276
480, 16817, 11909, 3448, -4469, -2328, -2464
490, -32764, -32764, 32764, -24293, 21992, -18139
500, -32764, -32764, 32764, 2919, 18149, -5833
510, 27495, 12379, -32748, 20642, -31559, 4239
520, -5767, 499, -18835, -7713, -17410, -15972
530, -4725, -944, 1429, -27686, -5467, -13949
540, 591, -947, 6770, -21185, -8941, -2491
550, 260, -1628, 7866, -15402, -12083, -1606
560, 423, -1695, 6838, -10251, -14303, -582
570, 39, -719, 5752, -7623, -15394, -3
580, -2419, 47, 8761, -10095, -11982, 157
590, -5070, -736, 12636, -11158, -9514, 199
600, -6533, -2816, 16784, -9647, -8845, 1435
610, 349, -6477, 14450, -845, -10854, 5315
620, 2136, -7177, 16779, -1335, 7028, 188
630, -330, -7468, 19831, 1198, 10523, -550
640, -4659, -6968, 19681, 7555, 14105, 342
650, -6514, -5485, 17782, 8335, 12910, 434
660, -8097, -3762, 16614, 7231, 9798, 141
670, -7432, -3060, 17295, 3090, 2188, -50
680, -5441, -3621, 18004, 1187, -446, -180
690, -4524, -3972, 17020, 15, -1425, -409
700, -4125, -4455, 15590, -386, -1438, -402
710, -3888, -4429, 15370, 65, -1678, -345
720, -3547, -4541, 15212, 713, -1757, -336
730, -3074, -4186, 15432, 1272, -1318, -218
740, -3220, -3548, 15091, 1613, 282, -130
750, -3829, -3626, 15507, 1254, 890, -262
760, -4472, -4036, 16126, 876, 1133, -322
770, -4639, -4089, 16625, 552, 230, -257
780, -4186, -3785, 16443, 386, -377, -256
790, -3966, -3515, 16061, 177, -681, -337
800, -4130, -3419, 15880, 43, -670, -365
810, -4217, -4027, 15631, -15, -675, -362
820, -4084, -4314, 15669, 23, -679, -358
830, -3871, -4458, 16001, 161, -688, -373
840, -3701, -4057, 16319, 395, -761, -369
850, -3659, -3822, 16186, 456, -737, -314
860, -3675, -3831, 16024, 509, -618, -262
870, -4084, -4051, 15787, 517, -273, -238
880, -4265, -4157, 15773, 452, -123, -243
890, -4355, -4196, 15827, 371, -82, -269
900, -4495, -4127, 15775, 190, -82, -281
910, -4617, -4023, 15787, 189, -104, -281
920, -4725, -3761, 15815, 264, -113, -269
930, -4356, -3684, 15809, 405, -422, -280
940, -4200, -3958, 15604, 528, -527, -319
950, -4179, -4299, 15726, 409, -574, -343
960, -4172, -4527, 16016, 337, -636, -362
970, -3844, -3999, 16310, 313, -841, -389
980, -3780, -3699, 16300, 366, -847, -397
990, -3891, -3734, 15859, 382, -714, -392
