timestamp, ax, ay, az, gx, gy, gz
0, 3013, -9795, 12678, 778, -641, -494
10, 2933, -9676, 12556, 729, -539, -593
20, 2817, -9494, 12320, 716, -451, -648
30, 2747, -9435, 12237, 631, -395, -662
40, 2778, -9543, 12268, 474, -309, -611
50, 2737, -9514, 12176, 412, -207, -594
60, 2749, -9524, 12179, 420, -170, -554
70, 2741, -9524, 12111, 346, -176, -501
80, 2656, -9459, 11868, 304, -147, -400
90, 2631, -9425, 11785, 243, -167, -275
100, 2609, -9361, 11620, 221, -202, -132
110, 2530, -8973, 10998, 261, -172, 128
120, 2512, -8834, 10836, 237, -160, 139
130, 2583, -8764, 10609, 177, -175, 86
140, 2409, -7640, 9519, 413, -159, -339
150, 1879, -6594, 8255, 1051, 127, -627
160, 1556, -5714, 7339, 1848, 565, -766
170, 1222, -4884, 6255, 2789, 1295, -806
180, 466, -3148, 3735, 4918, 3178, -384
190, 205, -2194, 2581, 5593, 3962, 151
200, 250, -1295, 1679, 6025, 4491, 738
210, -34, 1574, -1018, 4848, 3711, 201
220, -130, 1464, -1118, 3798, 2817, -373
230, 297, 229, 1088, 2482, 1196, -1670
240, 463, -169, 1737, 900, -1556, -2479
250, 234, -427, 1573, 1084, -1907, -3185
260, -35, -423, 1239, 1451, -1588, -3510
270, 96, -65, 1058, 1940, -610, -3269
280, 199, -49, 1140, 1990, -448, -3148
290, 198, -114, 1234, 1991, -560, -3133
300, 278, -184, 1356, 2342, -551, -3148
310, 312, -131, 1374, 2483, -398, -3296
320, 339, -84, 1340, 2644, -419, -3582
330, 342, -110, 1372, 2746, -491, -3814
340, 414, -167, 1476, 3010, -129, -3943
350, 454, -137, 1483, 3145, 149, -4011
360, 519, -97, 1513, 3239, 366, -4172
370, 570, -156, 1589, 3399, 802, -4595
380, 629, -153, 1598, 3552, 1055, -4755
390, 640, -169, 1610, 3664, 1374, -4892
400, 626, -165, 1663, 3779, 1664, -5035
410, 692, -172, 1752, 4110, 2254, -5307
420, 714, -193, 1805, 4295, 2512, -5488
430, 717, -222, 1865, 4476, 2765, -5706
440, 742, -259, 1911, 4826, 3320, -6129
450, 730, -267, 1956, 5021, 3614, -6315
460, 798, -267, 1988, 5147, 3935, -6464
470, 910, -316, 2060, 5407, 4672, -6725
480, 965, -312, 2149, 5569, 5048, -6887
490, 1040, -306, 2172, 5772, 5443, -7057
500, 1273, -416, 2497, 6152, 6246, -7484
510, 1564, -573, 3079, 6427, 6800, -7738
520, 2867, -1451, 9890, 6900, 7905, -7957
530, 32076, -32764, 32764, 14039, 18589, -5329
540, -32764, 610, 32764, 32114, 24477, 21583
550, -5712, 20249, -7696, 26292, -10457, 7566
560, -6832, 17188, -32748, 28062, -8523, 407
570, -10096, 2398, -6611, -710, -17998, -8608
580, -4852, 1494, -955, -11082, -7562, -3420
590, -1324, 1296, 2082, -14479, -4157, -694
600, 162, 1168, 4417, -14754, -3459, -693
610, 1456, 711, 6249, -8667, -8926, -2581
620, 1010, -250, 6474, -4399, -13008, -3024
630, 594, -613, 6977, -1273, -16928, -3149
640, 540, -1581, 10996, -83, -22121, -3070
650, 1778, -2219, 15940, -1386, -19232, -2717
660, 3210, -2284, 19519, -1936, -8601, -1529
670, 4857, -1190, 17120, -80, 4099, 1069
680, 4724, -748, 18368, 2301, 12471, 2173
690, 3131, -784, 20597, 1958, 12256, 2530
700, 666, -939, 22726, 1155, 12758, 2545
710, -4858, -838, 22320, 640, 13440, 2380
720, -6666, -1071, 19463, 1263, 10262, 2050
730, -6670, -1610, 15236, 1550, 1191, 268
740, -4725, -1542, 16007, 1246, -2159, -619
750, -2066, -1168, 17047, 1417, -4386, -610
760, -510, -1082, 17176, 1777, -4175, -440
770, -1810, -693, 16393, 1702, -523, -594
780, -2864, -62, 16587, 1484, -76, -566
790, -2915, 288, 16535, 1316, -357, -335
800, -1296, -121, 16009, 128, -797, -17
810, -1483, -785, 16133, -653, -197, -167
820, -2066, -1049, 16422, -1029, 522, -254
830, -2657, -1065, 17280, -1023, 850, -284
840, -2730, -1051, 17406, -649, 112, -248
850, -2514, -1161, 17259, -342, -304, -215
860, -2432, -1213, 17009, -96, -488, -220
870, -2366, -1458, 16810, 296, -621, -309
880, -2224, -1398, 16650, 485, -681, -345
890, -2187, -1179, 16621, 615, -664, -337
900, -2430, -953, 16771, 606, -463, -290
910, -2557, -929, 16930, 506, -350, -263
920, -2674, -700, 16820, 469, -273, -274
930, -2898, -711, 16403, 425, -159, -287
940, -2825, -1226, 16554, 202, -267, -298
950, -2494, -1638, 16867, -38, -512, -289
960, -2108, -1357, 17001, 117, -961, -370
970, -1985, -1043, 16914, 321, -1037, -352
980, -1879, -848, 16992, 545, -1017, -331
990, -1990, -510, 16600, 1178, -592, -259
