timestamp, ax, ay, az, gx, gy, gz
0, -10104, 5098, 12623, -49, 3, -905
10, -10085, 5128, 12554, -85, -2, -818
20, -10058, 5116, 12579, -132, 31, -743
30, -10056, 5129, 12627, -95, 95, -677
40, -10071, 5176, 12634, 83, 162, -627
50, -10033, 5158, 12631, 92, 97, -605
60, -10068, 5151, 12629, 101, 24, -575
70, -10089, 5134, 12646, 54, -36, -505
80, -9978, 5115, 12574, -10, -142, -310
90, -9952, 5077, 12646, 8, -159, -280
100, -9930, 5076, 12656, 149, -201, -260
110, -9971, 5090, 12661, 281, -229, -253
120, -9986, 5076, 12633, 445, -299, -241
130, -10012, 4999, 12601, 491, -360, -218
140, -9968, 4933, 12621, 498, -410, -151
150, -9847, 4816, 12485, 514, -517, -94
160, -9839, 4778, 12463, 550, -569, -86
170, -9791, 4723, 12372, 521, -655, -76
180, -9742, 4679, 12274, 492, -750, -64
190, -9559, 4533, 12043, 396, -776, -30
200, -9499, 4489, 11996, 385, -777, -22
210, -9366, 4505, 11947, 338, -797, -114
220, -9275, 4463, 11833, 284, -922, -218
230, -9107, 4400, 11585, 223, -1089, -325
240, -8345, 4067, 10715, 166, -1156, -570
250, -7847, 3819, 10014, 204, -1035, -696
260, -7057, 3481, 8928, 246, -1024, -861
270, -5776, 2955, 7125, 28, -1307, -1152
280, -3660, 2193, 5398, -1013, -2907, -2195
290, -3029, 1929, 4866, -1170, -3384, -2654
300, -2520, 1615, 4296, -1207, -3919, -3034
310, -1483, 928, 2922, -1076, -5855, -3458
320, -1015, 555, 2151, -932, -7047, -3483
330, -526, 158, 1391, -824, -8185, -3417
340, 546, -322, 261, -771, -9070, -3272
350, 774, -368, 178, -701, -9625, -3123
360, 768, -381, 499, -425, -9179, -3034
370, 904, -303, 948, 88, -7726, -2935
380, 61, -13, 1143, 685, -3766, -3338
390, -304, 72, 1363, 585, -3165, -3494
400, -197, 126, 1235, 661, -3351, -3562
410, -61, 143, 981, 744, -3546, -3641
420, -285, 35, 1078, 410, -3354, -3679
430, -302, 55, 1072, 258, -3251, -3632
440, -300, 101, 1082, 76, -3224, -3583
450, -235, 106, 1161, -226, -3303, -3490
460, -209, 108, 1253, -368, -3323, -3501
470, -213, 122, 1315, -537, -3370, -3581
480, -254, 106, 1323, -657, -3426, -3613
490, -269, 126, 1330, -751, -3468, -3636
500, -316, 129, 1349, -921, -3454, -3625
510, -302, 121, 1442, -1285, -3537, -3530
520, -313, 126, 1487, -1474, -3610, -3474
530, -308, 147, 1497, -1612, -3676, -3440
540, -285, 187, 1541, -1998, -3780, -3379
550, -302, 176, 1589, -2156, -3784, -3354
560, -302, 187, 1629, -2389, -3812, -3327
570, -330, 185, 1674, -2826, -3861, -3273
580, -361, 188, 1732, -3099, -3895, -3229
590, -381, 234, 1799, -3335, -3973, -3180
600, -396, 219, 1897, -3834, -4055, -3094
610, -396, 218, 1904, -4087, -4087, -3042
620, -446, 244, 1990, -4347, -4136, -3010
630, -431, 241, 1996, -4600, -4225, -2956
640, -509, 275, 2155, -5174, -4372, -2885
650, -560, 301, 2289, -5487, -4357, -2849
660, -649, 333, 2525, -5838, -4300, -2823
670, 22239, 20517, -12132, -9805, -1864, -4538
680, -32764, -32764, 32764, -29063, 23454, -25071
690, 7703, 8488, -23117, -18644, -32399, -13717
700, 5549, -7148, 16922, -25377, -4633, -3647
710, 3018, -5336, 12001, -13615, 2554, -2806
720, -910, -3781, 8312, -6385, 3062, -3413
730, -1131, -2566, 5611, -2924, 768, -2035
740, -154, 428, 4198, -4568, -4511, -495
750, -1570, 1031, 5549, -7943, -5933, -1769
760, -3734, 46, 8878, -11048, -6370, -3099
770, -6016, -6148, 17590, -7974, -9770, -2825
780, -1531, -7587, 15906, -2602, -11708, -1863
790, 1697, -8287, 14895, 831, -10701, -2566
800, 2123, -8590, 15112, 2246, -5761, -3952
810, 542, -6168, 17705, 4212, 4534, -2942
820, -559, -4835, 18907, 5368, 6953, -1366
830, -2122, -3749, 19044, 5890, 8847, -185
840, -3711, -2865, 18101, 5349, 9643, 398
850, -6319, -2753, 16022, 2249, 5640, 218
860, -6152, -3658, 15960, 1046, 2425, 157
870, -5024, -4826, 16752, 599, -572, 192
880, -3257, -6267, 17513, 1326, -2324, -196
890, -3135, -4887, 17148, 1832, -1818, -310
900, -2943, -3551, 16562, 2049, -1500, -367
910, -2567, -3045, 15435, 1126, -757, -260
920, -2811, -3292, 15112, 568, -403, -347
930, -2889, -3664, 15561, 290, -242, -370
940, -2947, -3747, 15968, 97, 5, -257
950, -3408, -4135, 16455, -165, 320, -276
960, -3634, -4436, 16681, -268, 346, -276
970, -3391, -4126, 16375, -33, -197, -291
980, -3201, -4042, 16157, 166, -395, -313
990, -3255, -4135, 16144, 199, -389, -339
